"Charge_Type";"Charge_Date";"Day_Type";"PEV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"KWh";"Spans_Zones";"Noise"
"L1";"5/1/2010";"Weekday";"H005.V006";11;"16:40";"18:20";"Peak";3,52;FALSE;0
"L1";"6/1/2010";"Weekday";"H005.V006";2;"12:00";"12:10";"Shoulder 1";0,64;FALSE;0
"L1";"6/1/2010";"Weekday";"H005.V006";1;"13:50";"13:50";"Shoulder 1";0,32;TRUE;0
"L1";"6/1/2010";"Weekday";"H005.V006";2;"14:00";"14:10";"Peak";0,64;TRUE;0
"L1";"6/1/2010";"Weekday";"H005.V006";9;"22:30";"23:50";"Off-Peak";2,88;FALSE;0
"L1";"7/1/2010";"Weekday";"H005.V006";2;"13:40";"13:50";"Shoulder 1";0,64;TRUE;0
"L1";"7/1/2010";"Weekday";"H005.V006";28;"14:00";"18:30";"Peak";8,96;TRUE;0
"L1";"7/1/2010";"Weekday";"H005.V006";3;"18:50";"19:10";"Peak";0,96;FALSE;0
"L1";"7/1/2010";"Weekday";"H005.V006";42;"22:20";"5:10";"Off-Peak";13,44;FALSE;0
"L1";"4/1/2010";"Weekday";"H006.V007";2;"20:30";"20:40";"Shoulder 2";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H006.V007";2;"22:10";"22:20";"Off-Peak";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H006.V007";6;"18:30";"19:20";"Peak";1,92;FALSE;0
"L1";"6/1/2010";"Weekday";"H006.V007";2;"13:40";"13:50";"Shoulder 1";0,64;FALSE;0
"L1";"6/1/2010";"Weekday";"H006.V007";2;"16:00";"16:10";"Peak";0,64;FALSE;0
"L1";"7/1/2010";"Weekday";"H006.V007";5;"14:20";"15:00";"Peak";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H006.V007";5;"18:00";"18:40";"Peak";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H006.V007";6;"20:20";"21:10";"Shoulder 2";1,92;FALSE;0
"L1";"8/1/2010";"Weekday";"H006.V007";1;"13:50";"13:50";"Shoulder 1";0,32;TRUE;0
"L1";"8/1/2010";"Weekday";"H006.V007";4;"14:00";"14:30";"Peak";1,28;TRUE;0
"L1";"4/1/2010";"Weekday";"H007.V008";3;"19:30";"19:50";"Peak";0,96;TRUE;0
"L1";"4/1/2010";"Weekday";"H007.V008";8;"20:00";"21:10";"Shoulder 2";2,56;TRUE;0
"L1";"5/1/2010";"Weekday";"H007.V008";4;"12:20";"12:50";"Shoulder 1";1,28;FALSE;0
"L1";"5/1/2010";"Weekday";"H007.V008";2;"16:50";"17:00";"Peak";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H007.V008";6;"18:20";"19:10";"Peak";1,92;FALSE;0
"L1";"5/1/2010";"Weekday";"H007.V008";8;"20:40";"21:50";"Shoulder 2";2,56;FALSE;0
"L1";"6/1/2010";"Weekday";"H007.V008";5;"12:00";"12:40";"Shoulder 1";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H007.V008";11;"18:10";"19:50";"Peak";3,52;TRUE;0
"L1";"6/1/2010";"Weekday";"H007.V008";3;"20:00";"20:20";"Shoulder 2";0,96;TRUE;0
"L1";"7/1/2010";"Weekday";"H007.V008";5;"13:10";"13:50";"Shoulder 1";1,6;TRUE;0
"L1";"7/1/2010";"Weekday";"H007.V008";2;"14:00";"14:10";"Peak";0,64;TRUE;0
"L1";"7/1/2010";"Weekday";"H007.V008";3;"16:40";"17:00";"Peak";0,96;FALSE;0
"L1";"7/1/2010";"Weekday";"H007.V008";5;"18:10";"18:50";"Peak";1,6;FALSE;0
"L1";"8/1/2010";"Weekday";"H007.V008";1;"12:50";"12:50";"Shoulder 1";0,32;FALSE;0
"L1";"8/1/2010";"Weekday";"H007.V008";1;"21:50";"21:50";"Shoulder 2";0,32;TRUE;0
"L1";"8/1/2010";"Weekday";"H007.V008";3;"22:00";"22:20";"Off-Peak";0,96;TRUE;0
"L1";"4/1/2010";"Weekday";"H007.V009";1;"6:50";"6:50";"Off-Peak";0,32;TRUE;0
"L1";"4/1/2010";"Weekday";"H007.V009";4;"7:00";"7:30";"Shoulder 1";1,28;TRUE;0
"L1";"4/1/2010";"Weekday";"H007.V009";2;"12:00";"12:10";"Shoulder 1";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H007.V009";2;"14:10";"14:20";"Peak";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H007.V009";11;"20:10";"21:50";"Shoulder 2";3,52;TRUE;0
"L1";"4/1/2010";"Weekday";"H007.V009";8;"22:00";"23:10";"Off-Peak";2,56;TRUE;0
"L1";"5/1/2010";"Weekday";"H007.V009";2;"12:40";"12:50";"Shoulder 1";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H007.V009";2;"17:50";"18:00";"Peak";0,64;FALSE;0
"L1";"5/1/2010";"Weekday";"H007.V009";9;"18:20";"19:40";"Peak";2,88;FALSE;0
"L1";"6/1/2010";"Weekday";"H007.V009";1;"6:40";"6:40";"Off-Peak";0,32;FALSE;0
"L1";"6/1/2010";"Weekday";"H007.V009";23;"15:20";"19:00";"Peak";7,36;FALSE;0
