"Charge_Type";"Date";"HV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"DayType";"KWh";"Splits";"Noise"
"L1";"6/1/2010";"H005.V006";1;"13:50";"13:50";"Shoulder 1";"W";0,32;TRUE;0
"L1";"6/1/2010";"H005.V006";2;"14:00";"14:10";"Peak";"W";0,64;TRUE;0
"L1";"6/1/2010";"H005.V006";9;"22:30";"23:50";"Off Peak";"W";2,88;FALSE;0
"L1";"7/1/2010";"H005.V006";2;"13:40";"13:50";"Shoulder 1";"W";0,64;TRUE;0
"L1";"7/1/2010";"H005.V006";28;"14:00";"18:30";"Peak";"W";8,96;TRUE;0
"L1";"7/1/2010";"H005.V006";3;"18:50";"19:10";"Peak";"W";0,96;FALSE;0
"L1";"7/1/2010";"H005.V006";42;"22:20";"5:10";"Off Peak";"W";13,44;FALSE;0
"L1";"4/1/2010";"H006.V007";2;"22:10";"22:20";"Off Peak";"W";0,64;FALSE;0
"L1";"4/1/2010";"H006.V007";2;"22:50";"23:00";"Off Peak";"W";0,64;FALSE;0
"L1";"5/1/2010";"H006.V007";6;"18:30";"19:20";"Peak";"W";1,92;FALSE;0
"L1";"6/1/2010";"H006.V007";2;"13:40";"13:50";"Shoulder 1";"W";0,64;FALSE;0
"L1";"6/1/2010";"H006.V007";2;"16:00";"16:10";"Peak";"W";0,64;FALSE;0
"L1";"7/1/2010";"H006.V007";5;"1:20";"2:00";"Off Peak";"W";1,6;FALSE;0
"L1";"7/1/2010";"H006.V007";5;"14:20";"15:00";"Peak";"W";1,6;FALSE;0
"L1";"7/1/2010";"H006.V007";6;"20:20";"21:10";"Shoulder 2";"W";1,92;FALSE;0
"L1";"8/1/2010";"H006.V007";1;"13:50";"13:50";"Shoulder 1";"W";0,32;TRUE;0
"L1";"8/1/2010";"H006.V007";4;"14:00";"14:30";"Peak";"W";1,28;TRUE;0
"L1";"4/1/2010";"H007.V008";3;"19:30";"19:50";"Peak";"W";0,96;TRUE;0
"L1";"4/1/2010";"H007.V008";8;"20:00";"21:10";"Shoulder 2";"W";2,56;TRUE;0
"L1";"5/1/2010";"H007.V008";8;"10:50";"12:00";"Shoulder 1";"W";2,56;FALSE;0
"L1";"5/1/2010";"H007.V008";4;"20:30";"21:00";"Shoulder 2";"W";1,28;FALSE;1,28
"L1";"5/1/2010";"H007.V008";6;"20:30";"21:20";"Shoulder 2";"W";1,92;FALSE;0
"L1";"5/1/2010";"H007.V008";2;"22:10";"22:20";"Off Peak";"W";0,64;FALSE;0
"L1";"6/1/2010";"H007.V008";11;"18:10";"19:50";"Peak";"W";3,52;TRUE;0
"L1";"6/1/2010";"H007.V008";3;"20:00";"20:20";"Shoulder 2";"W";0,96;TRUE;0
"L1";"6/1/2010";"H007.V008";5;"20:40";"21:20";"Shoulder 2";"W";1,6;FALSE;0
"L1";"7/1/2010";"H007.V008";5;"13:10";"13:50";"Shoulder 1";"W";1,6;TRUE;0
"L1";"7/1/2010";"H007.V008";2;"14:00";"14:10";"Peak";"W";0,64;TRUE;0
"L1";"7/1/2010";"H007.V008";3;"16:40";"17:00";"Peak";"W";0,96;FALSE;0
"L1";"7/1/2010";"H007.V008";5;"18:10";"18:50";"Peak";"W";1,6;FALSE;0
"L1";"8/1/2010";"H007.V008";1;"20:40";"20:40";"Shoulder 2";"W";0,32;FALSE;0
"L1";"8/1/2010";"H007.V008";1;"21:50";"21:50";"Shoulder 2";"W";0,32;TRUE;0
"L1";"8/1/2010";"H007.V008";3;"22:00";"22:20";"Off Peak";"W";0,96;TRUE;0
"L1";"4/1/2010";"H007.V009";1;"6:50";"6:50";"Off Peak";"W";0,32;TRUE;0
"L1";"4/1/2010";"H007.V009";4;"7:00";"7:30";"Shoulder 1";"W";1,28;TRUE;0
"L1";"4/1/2010";"H007.V009";2;"12:00";"12:10";"Shoulder 1";"W";0,64;FALSE;0
"L1";"4/1/2010";"H007.V009";11;"20:10";"21:50";"Shoulder 2";"W";3,52;TRUE;0
"L1";"4/1/2010";"H007.V009";2;"20:30";"20:40";"Shoulder 2";"W";0,64;FALSE;0,64
"L1";"4/1/2010";"H007.V009";8;"22:00";"23:10";"Off Peak";"W";2,56;TRUE;0
"L1";"5/1/2010";"H007.V009";2;"0:10";"0:20";"Off Peak";"W";0,64;FALSE;0
"L1";"5/1/2010";"H007.V009";9;"18:20";"19:40";"Peak";"W";2,88;FALSE;0
