a1b1c1;Percentage;Type;Class
0.1;0.11;try = 100;L1 Charging
0.2;0.23;try = 100;L1 Charging
0.3;0.27;try = 100;L1 Charging
0.4;0.67;try = 100;L1 Charging
0.5;0.44;try = 100;L1 Charging
0.1;0.19;try = 1;L1 Charging
0.2;0.55;try = 1;L1 Charging
0.3;0.94;try = 1;L1 Charging
0.4;1.22;try = 1;L1 Charging
0.5;1.42;try = 1;L1 Charging
0.1;0;try = 100;L2 Charging
0.2;0.08;try = 100;L2 Charging
0.3;0.09;try = 100;L2 Charging
0.4;0.09;try = 100;L2 Charging
0.5;0.14;try = 100;L2 Charging
0.1;0.1;try = 1;L2 Charging
0.2;0.27;try = 1;L2 Charging
0.3;0.36;try = 1;L2 Charging
0.4;0.33;try = 1;L2 Charging
0.5;0.83;try = 1;L2 Charging
